,FIPS Code,"County, State",Population,Deaths,Crude Rate,Median Household Income ($),% <High School,% High School,% Associate,% >Bachelor,MYS,Education Level,Income Level,State,County_y,Population Total,% White,% Black,% Native American,% Asian,% Pacific Islander,% Other,% Two or More Races,"Estimated Diabetes Rate Per 1,000",% Daily Smokers,% Population Obese
0,1001,"Autauga County, AL",144568.0,188.0,130.0,53748,12.4,34.3,28.7,24.6,14.294,7.0,8.0,Alabama,Autauga County,55049,76.86061508837581,18.521680684481098,0.4105433341205108,0.8065541608385256,0.05631346618467183,1.387854456938364,1.9564388090610185,13.2,18.41,37.5
1,1003,"Baldwin County, AL",514161.0,581.0,113.0,50976,10.0,28.7,31.8,29.5,14.796,9.0,8.0,Alabama,Baldwin County,199510,86.43225903463485,9.319833592301139,0.6791639516816199,0.6706430755350609,0.0,0.885168663224901,2.012931682622425,9.3,16.02,31.0
2,1005,"Barbour County, AL",71488.0,118.0,165.1,32111,26.2,34.9,26.0,12.9,13.028,2.0,1.0,Alabama,Barbour County,26614,46.704741865183735,47.92966108063425,0.17284136168933645,0.4847072969114,0.0,4.129405576012625,0.578642819568648,16.5,18.73,44.3
3,1007,"Bibb County, AL",62810.0,123.0,195.8,40113,19.3,41.8,26.9,12.0,13.111999999999998,2.0,3.0,Alabama,Bibb County,22572,76.95374800637958,21.21212121212121,0.3588516746411483,0.06202374623427254,0.0,0.0354421407052986,1.377813219918483,13.7,22.62,37.8
4,1009,"Blount County, AL",148438.0,194.0,130.7,46377,20.0,32.9,34.0,13.1,13.328,3.0,6.0,Alabama,Blount County,57704,95.44052405379176,1.568348814640233,0.3483294052405379,0.15943435463746014,0.0,0.868224039927908,1.6151393317620961,12.6,19.88,34.4
5,1011,"Bullock County, AL",28974.0,45.0,155.3,28180,33.4,34.1,22.2,10.3,12.6,1.0,1.0,Alabama,Bullock County,10552,21.8062926459439,75.50227445034116,0.796057619408643,0.796057619408643,0.0,0.009476876421531463,1.0898407884761183,19.6,18.49,39.4
6,1013,"Butler County, AL",50897.0,135.0,265.2,32687,18.9,39.9,25.1,16.1,13.412,3.0,1.0,Alabama,Butler County,20280,53.629191321499015,43.76232741617357,0.07396449704142012,1.0009861932938857,0.0,0.21696252465483234,1.316568047337278,16.0,20.22,40.2
7,1015,"Calhoun County, AL",301458.0,667.0,221.3,40420,17.7,32.1,32.6,17.7,13.725999999999999,5.0,4.0,Alabama,Calhoun County,115883,74.88328745372488,20.530189932949614,0.3296428294055211,0.9311115521689981,0.005177636063961064,1.0536489390160766,2.2669416566709524,15.3,19.94,37.1
8,1017,"Chambers County, AL",88018.0,165.0,187.5,35082,19.7,39.4,28.4,12.5,13.174000000000001,2.0,2.0,Alabama,Chambers County,34018,57.07860544417661,40.505026750543834,0.2292903756834617,0.9171615027338468,0.0,0.12346404844494091,1.1464518784173083,15.3,20.96,40.3
9,1019,"Cherokee County, AL",66787.0,132.0,197.6,38792,18.7,36.0,31.4,14.0,13.386,3.0,3.0,Alabama,Cherokee County,25897,93.27721357686218,4.668494420203112,0.586940572267058,0.420898173533614,0.0,0.007722902266671815,1.0387303548673592,11.8,19.77,36.3
10,1021,"Chilton County, AL",114392.0,200.0,174.8,41875,19.9,41.3,24.0,14.9,13.286,3.0,4.0,Alabama,Chilton County,43817,83.84873450943698,10.082844558048246,0.3058173768172171,0.4359038729260333,0.0,4.295136590820914,1.031563091950613,13.8,21.08,35.3
11,1023,"Choctaw County, AL",33661.0,84.0,249.5,33960,21.1,37.3,29.6,12.0,13.13,2.0,1.0,Alabama,Choctaw County,13287,56.40851960562956,42.582975841047634,0.015052306766011892,0.045156920298035676,0.0,0.015052306766011892,0.9332430194927372,14.2,17.62,41.3
12,1025,"Clarke County, AL",62742.0,117.0,186.5,35439,19.0,45.1,23.8,12.1,13.064,2.0,2.0,Alabama,Clarke County,24847,53.3384311989375,45.49442588642492,0.03219704592103675,0.45880790437477365,0.1328128144242766,0.0,0.543325149917495,17.0,17.74,39.6
13,1027,"Clay County, AL",34499.0,71.0,205.8,36257,25.4,34.6,29.0,11.1,12.972,1.0,2.0,Alabama,Clay County,13483,82.896981383965,14.781576800415339,0.9196766298301564,0.0,0.0,0.5043387970036342,0.8974263887858784,13.1,22.55,37.7
14,1029,"Cleburne County, AL",38107.0,82.0,215.2,40936,25.8,38.0,24.7,11.5,12.898,1.0,4.0,Alabama,Cleburne County,14991,94.56340470949236,2.361416850110066,0.14008405043025815,0.5736775398572477,0.0,0.3868988059502368,1.9745180441598293,11.6,22.84,34.5
15,1031,"Coffee County, AL",133034.0,166.0,124.8,46544,14.9,29.3,32.1,23.7,14.24,7.0,6.0,Alabama,Coffee County,50991,76.37622325508423,17.191269047478965,0.8256358965307603,1.2217842364338805,0.0,1.0354768488556805,3.3496107156164814,13.4,16.66,33.4
16,1033,"Colbert County, AL",140784.0,289.0,205.3,42121,16.6,34.8,30.1,18.5,13.75,5.0,4.0,Alabama,Colbert County,54377,79.77453702852308,15.690457362487816,0.6031962042775438,0.4689482685694319,0.057009397355499564,1.1126027548412012,2.293248983945418,16.2,18.69,32.5
17,1035,"Conecuh County, AL",31515.0,79.0,250.7,28629,20.6,46.2,24.6,8.7,12.788000000000002,1.0,1.0,Alabama,Conecuh County,12697,51.92565172875483,46.31015200441049,0.1496416476332992,0.11026226667716783,0.0,0.007875876191226275,1.4964164763329921,17.7,19.82,38.7
18,1037,"Coosa County, AL",29851.0,46.0,154.1,35067,27.1,36.3,26.7,9.9,12.784,1.0,2.0,Alabama,Coosa County,10864,66.31075110456554,32.36377025036819,0.07363770250368189,0.0,0.0,0.0,1.251840942562592,17.3,22.47,40.4
19,1039,"Covington County, AL",95215.0,190.0,199.5,35344,19.1,34.4,31.6,14.9,13.442,3.0,2.0,Alabama,Covington County,37729,84.49998674759469,13.106628853136845,0.3445625381006653,0.4664846669670545,0.06096106443319462,0.38166927297304465,1.1397068567945081,13.3,21.41,33.4
20,1041,"Crenshaw County, AL",35548.0,52.0,146.3,35266,21.7,38.5,25.1,14.6,13.224,2.0,2.0,Alabama,Crenshaw County,13896,71.49539435808866,23.83419689119171,0.885146804835924,1.6695451928612552,0.0,1.2953367875647668,0.8203799654576858,14.2,20.37,38.2
21,1043,"Cullman County, AL",210148.0,332.0,158.0,39767,17.8,35.1,32.1,15.0,13.485999999999999,4.0,3.0,Alabama,Cullman County,81316,95.8556741600669,1.1055634807417976,0.5226523685375571,0.611195828619214,0.023365635299326087,0.7796743568301442,1.1018741699050618,15.3,20.13,34.5
22,1045,"Dale County, AL",129329.0,216.0,167.0,41937,14.2,33.1,36.7,16.1,13.75,5.0,4.0,Alabama,Dale County,49607,74.42699619005381,19.66657931340335,0.5946741387304212,1.0240490253391659,0.022174289918761466,1.231681012760296,3.0338460297941823,14.5,17.57,37.3
23,1047,"Dallas County, AL",102988.0,266.0,258.3,28339,21.0,36.5,28.8,13.8,13.272,3.0,1.0,Alabama,Dallas County,41426,28.687297832279246,69.51672862453532,0.21966880702940184,0.39347269830541204,0.08931588857239414,0.22208274996379085,0.8714333993144401,14.1,18.02,41.9
24,1049,"DeKalb County, AL",181628.0,274.0,150.9,37006,27.4,34.3,27.0,11.4,12.916,1.0,2.0,Alabama,DeKalb County,70937,87.20131948066594,1.5252970946050721,1.3800978332886928,0.30167613516218617,0.7006216783906847,6.643923481398987,2.2470642964884333,11.0,20.89,30.4
25,1051,"Elmore County, AL",218040.0,300.0,137.6,53275,13.2,35.4,29.1,22.2,14.082,7.0,8.0,Alabama,Elmore County,80957,75.37087589708116,21.364428029694775,0.2593969638202997,0.5644972022184617,0.0,0.7831317860098571,1.6576701211754388,13.6,19.18,36.1
26,1053,"Escambia County, AL",99838.0,170.0,170.3,35211,19.5,43.4,25.4,11.6,13.034,2.0,2.0,Alabama,Escambia County,37875,61.922112211221126,32.38811881188119,3.4772277227722777,0.1056105610561056,0.17689768976897688,0.5914191419141914,1.3386138613861387,17.1,20.77,38.4
27,1055,"Etowah County, AL",268796.0,576.0,214.3,39469,17.5,32.5,33.4,16.5,13.626,4.0,3.0,Alabama,Etowah County,103363,81.29021022996623,15.412671845824907,0.45954548532840567,0.6762574615674855,0.06482010003579618,0.5649990809090294,1.5314957963681395,13.7,20.92,36.1
28,1057,"Fayette County, AL",42430.0,87.0,205.0,36507,20.8,39.0,26.0,14.1,13.22,2.0,2.0,Alabama,Fayette County,16783,85.62831436572722,12.536495263063815,0.0,0.2681284633259846,0.0,0.0,1.5670619078829768,14.0,21.0,37.8
29,1059,"Franklin County, AL",80372.0,151.0,187.9,35194,24.3,36.7,26.6,12.4,13.038000000000002,2.0,2.0,Alabama,Franklin County,31573,89.10461470243563,4.519684540588478,0.9913533715516423,0.3230608431254553,0.057010737022139164,3.940075380863396,1.0642004244132646,12.3,19.07,33.0
30,1061,"Geneva County, AL",68422.0,113.0,165.2,35283,22.3,36.0,30.1,11.7,13.104,2.0,2.0,Alabama,Geneva County,26765,86.81113394358304,9.602092284700168,0.47076405753782924,0.3848309359237811,0.0,0.6650476368391556,2.0661311414160286,14.8,20.96,38.0
