County Code,County,Population,Deaths,Crude Rate,Median Household Income ($),% <High School,% High School,% Associate,% >Bachelor,MYS,Education Level,Income Level
1001,"Autauga County, AL",144568.0,188.0,130.0,53748,12.4,34.3,28.7,24.6,14.293999999999999,7.0,8.0
1003,"Baldwin County, AL",514161.0,581.0,113.0,50976,10.0,28.7,31.8,29.5,14.796,9.0,8.0
1005,"Barbour County, AL",71488.0,118.0,165.1,32111,26.2,34.9,26.0,12.9,13.027999999999999,2.0,1.0
1007,"Bibb County, AL",62810.0,123.0,195.8,40113,19.3,41.8,26.9,12.0,13.111999999999998,2.0,3.0
1009,"Blount County, AL",148438.0,194.0,130.7,46377,20.0,32.9,34.0,13.1,13.328,3.0,6.0
1011,"Bullock County, AL",28974.0,45.0,155.3,28180,33.4,34.1,22.2,10.3,12.6,1.0,1.0
1013,"Butler County, AL",50897.0,135.0,265.2,32687,18.9,39.9,25.1,16.1,13.412,3.0,1.0
1015,"Calhoun County, AL",301458.0,667.0,221.3,40420,17.7,32.1,32.6,17.7,13.726,5.0,4.0
1017,"Chambers County, AL",88018.0,165.0,187.5,35082,19.7,39.4,28.4,12.5,13.174,2.0,2.0
1019,"Cherokee County, AL",66787.0,132.0,197.6,38792,18.7,36.0,31.4,14.0,13.386,3.0,3.0
1021,"Chilton County, AL",114392.0,200.0,174.8,41875,19.9,41.3,24.0,14.9,13.286,3.0,4.0
1023,"Choctaw County, AL",33661.0,84.0,249.5,33960,21.1,37.3,29.6,12.0,13.13,2.0,1.0
1025,"Clarke County, AL",62742.0,117.0,186.5,35439,19.0,45.1,23.8,12.1,13.064,2.0,2.0
1027,"Clay County, AL",34499.0,71.0,205.8,36257,25.4,34.6,29.0,11.1,12.972000000000001,1.0,2.0
1029,"Cleburne County, AL",38107.0,82.0,215.2,40936,25.8,38.0,24.7,11.5,12.898,1.0,4.0
1031,"Coffee County, AL",133034.0,166.0,124.8,46544,14.9,29.3,32.1,23.7,14.24,7.0,6.0
1033,"Colbert County, AL",140784.0,289.0,205.3,42121,16.6,34.8,30.1,18.5,13.75,5.0,4.0
1035,"Conecuh County, AL",31515.0,79.0,250.7,28629,20.6,46.2,24.6,8.7,12.788000000000002,1.0,1.0
1037,"Coosa County, AL",29851.0,46.0,154.1,35067,27.1,36.3,26.7,9.9,12.783999999999999,1.0,2.0
1039,"Covington County, AL",95215.0,190.0,199.5,35344,19.1,34.4,31.6,14.9,13.442,3.0,2.0
1041,"Crenshaw County, AL",35548.0,52.0,146.3,35266,21.7,38.5,25.1,14.6,13.224,2.0,2.0
1043,"Cullman County, AL",210148.0,332.0,158.0,39767,17.8,35.1,32.1,15.0,13.486,4.0,3.0
1045,"Dale County, AL",129329.0,216.0,167.0,41937,14.2,33.1,36.7,16.1,13.75,5.0,4.0
1047,"Dallas County, AL",102988.0,266.0,258.3,28339,21.0,36.5,28.8,13.8,13.272,3.0,1.0
1049,"DeKalb County, AL",181628.0,274.0,150.9,37006,27.4,34.3,27.0,11.4,12.915999999999999,1.0,2.0
1051,"Elmore County, AL",218040.0,300.0,137.6,53275,13.2,35.4,29.1,22.2,14.082,7.0,8.0
1053,"Escambia County, AL",99838.0,170.0,170.3,35211,19.5,43.4,25.4,11.6,13.033999999999999,2.0,2.0
1055,"Etowah County, AL",268796.0,576.0,214.3,39469,17.5,32.5,33.4,16.5,13.626,4.0,3.0
1057,"Fayette County, AL",42430.0,87.0,205.0,36507,20.8,39.0,26.0,14.1,13.22,2.0,2.0
1059,"Franklin County, AL",80372.0,151.0,187.9,35194,24.3,36.7,26.6,12.4,13.038000000000002,2.0,2.0
1061,"Geneva County, AL",68422.0,113.0,165.2,35283,22.3,36.0,30.1,11.7,13.104000000000001,2.0,2.0
1063,"Greene County, AL",21471.0,65.0,302.7,25783,23.1,41.0,26.0,10.0,12.87,1.0,1.0
1065,"Hale County, AL",37988.0,96.0,252.7,33758,18.6,42.8,24.6,14.0,13.24,2.0,1.0
1067,"Henry County, AL",43664.0,66.0,151.2,40511,19.3,36.1,28.4,16.1,13.458,4.0,4.0
1069,"Houston County, AL",270338.0,386.0,142.8,41369,15.1,32.1,31.8,21.0,14.014000000000001,6.0,4.0
